Date,E Shredder(kWh), E ECurrent(kWh),SHREDDED(kg),ZORBA(kg),INOX(kg),CUFe(kg),FLUFF(kg),TIME AVAIL(min),FUCHS BREAKDOWN,BIG PIECES,BLOCKING,2nd PROCESSING OF RUBBISH FROM MOTORS,NO SCRAP IN FEEDING AREA into machine(break change of material etc.),NO ELECTRICAL POWER,NO SCRAP IN THE PLANT OR PROPER MIX,SCALE,START-FINISH TIME,MECHANICAL,ELECTRICAL,ELECTRONIC,FIRE - EXPLOSION,BELTS PROBLEMS,HAMMERS AND FACING PROBLEMS,HYDRAULICS,OTHER,40000,40001,40002,40003,40004,40005,40006,40008,40009,40011,40012,40016,40017,40018,40020,40021,40240,40242,40296,40297,70001
2889,  121,112055,850,95,95,40380,480,0,0,0,98,0,0,0,0,64,0,0,0,0,8,0,0,0,19880,32470,101125,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1479,  155,72760,15170,135,345,9280,540,63,0,39,100,109,0,0,0,68,0,0,0,0,4,0,0,0,0,20180,16800,0,0,0,0,0,      0,13855,49875,0,0,0,0,0,0,0,0,0,0,
3352,  131,112020,970,115,205,27285,480,16,0,26,0,30,0,0,0,60,0,0,0,0,9,0,0,0,12765,32530,76005,0,0,0,0,19295,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2251,  141,170885,37335,395,870,14990,480,0,0,21,0,30,0,0,0,65,0,20,0,0,7,0,0,0,0,0,0,0,0,0,0,23140,      0,3030,207190,0,300,0,0,0,0,0,0,0,0,
3701,  134,98200,640,135,220,20905,480,0,0,0,0,30,0,0,0,66,0,0,0,0,17,0,0,0,21095,18025,50945,0,0,0,0,30035,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3136,  133,102475,910,115,155,26530,480,0,0,36,0,30,0,0,0,60,0,27,0,0,1,0,0,0,17320,24470,53375,0,0,0,0,35020,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1834,  134,77050,21720,370,1015,11500,480,0,0,17,0,30,0,0,0,128,0,12,0,0,0,0,0,0,0,11090,0,0,0,0,0,0,      0,51430,50420,0,780,2430,0,0,0,0,0,0,0,
2627,  143,73970,1190,95,140,19915,480,0,0,0,0,147,0,0,0,60,0,0,0,0,1,0,0,0,13890,23070,58350,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3424,  136,128215,1555,115,205,44450,480,0,0,0,0,30,0,0,0,60,0,0,0,0,6,0,0,0,73820,29505,71215,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1663,   69,39135,1525,60,110,10790,480,0,0,0,0,35,0,0,0,77,0,0,0,0,1,210,0,0,0,9319,0,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,42301,
664,   43,15355,4350,40,70,1640,480,0,0,45,0,30,0,0,0,6,0,362,0,0,0,0,0,0,0,2360,0,0,0,0,0,0,      0,0,19990,0,0,0,0,0,0,0,0,0,0,
3323,  144,92095,1240,185,245,30305,480,14,0,0,0,30,0,0,0,61,0,0,0,0,0,0,0,0,19295,48155,56620,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1953,  112,91270,33795,570,1730,13420,480,0,0,62,0,30,0,0,0,123,0,34,0,0,0,0,0,0,2090,13415,0,0,0,0,0,0,      0,61460,60915,0,9460,0,0,0,0,0,0,0,0,
3248,  130,88855,1340,120,280,23035,480,0,0,0,0,30,0,0,0,62,0,0,0,0,0,0,0,0,19610,19015,75005,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3040,  133,88920,670,225,190,29505,600,0,0,0,0,30,0,0,0,58,0,151,0,0,0,0,0,0,35355,25220,58935,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3099,  147,116075,1150,185,185,20475,480,26,0,37,0,30,0,0,0,58,0,0,0,0,0,0,0,0,52660,36705,48705,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1015,   65,44465,16410,305,1315,8300,480,0,0,7,240,30,0,0,0,59,0,3,0,0,0,0,0,0,0,8692,0,0,0,0,0,0,      0,33275,25220,0,1970,4828,0,0,0,0,0,0,0,
3837,  159,104750,815,230,180,26105,480,0,0,0,0,30,0,0,0,56,0,0,0,0,0,0,0,0,18830,32795,80455,0,0,0,0,0,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3815,  132,97245,785,110,130,25265,480,0,0,13,0,30,0,0,0,56,0,13,0,0,0,0,0,0,3375,29303,79835,0,0,0,0,11022,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2767,  141,74875,820,65,220,22905,480,0,0,0,0,30,0,0,0,58,0,0,92,0,0,0,0,0,4145,6965,60775,0,0,0,0,27000,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2313,  117,101500,37000,360,845,13775,480,0,72,0,0,30,0,0,0,56,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,14285,      0,78410,62995,0,4415,0,0,0,0,0,0,0,0,
2347,  161,82415,1070,80,90,11700,480,0,0,0,165,30,0,0,0,56,0,0,0,0,0,0,0,0,10890,15660,40760,0,0,0,0,28045,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3611,  127,95925,1370,70,220,30505,480,0,0,25,0,30,0,0,0,57,0,0,0,0,0,0,0,0,16930,31810,68140,0,0,0,0,11210,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3999,  135,122415,740,150,145,35170,480,0,0,0,0,42,0,0,0,63,0,0,0,0,0,0,0,0,20765,38935,78385,0,0,0,0,20535,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3832,  140,123315,1190,155,165,30390,480,0,0,28,0,30,0,0,0,64,0,0,0,0,0,0,0,0,18690,36145,79970,0,0,0,0,20410,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3809,  134,135400,1165,145,125,32330,480,0,0,0,0,30,0,0,0,64,0,0,0,0,0,0,0,0,26390,36475,69535,0,0,0,0,36765,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3129,  159,107705,1035,85,120,27660,480,0,66,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,42825,17415,17405,0,0,0,0,58960,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2139,  130,112210,25820,405,910,10505,480,0,0,20,0,50,0,0,0,116,0,0,0,0,5,0,0,0,0,10805,0,0,0,0,0,23965,      0,7070,113885,0,880,0,0,0,0,0,0,0,0,
3108,  124,107135,1090,170,175,27170,480,0,22,0,0,30,0,0,0,63,0,0,0,0,0,0,0,0,15367,25090,33970,0,0,0,0,61313,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2372,  101,102635,635,125,150,22065,480,0,0,0,0,30,0,0,0,59,0,0,0,0,100,0,0,0,29895,23520,35880,0,0,0,0,36315,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3768,  153,162360,1095,385,235,18410,570,0,0,0,0,45,0,0,0,46,0,0,0,0,0,0,0,0,0,0,48800,0,0,0,0,129095,      0,0,0,0,0,0,0,0,0,0,0,0,4590,
1360,   58,158135,18580,520,810,13155,480,10,0,0,115,30,0,0,0,60,0,0,0,0,0,0,0,0,0,42840,0,0,0,0,0,86845,      0,9585,53535,0,3065,0,0,0,0,0,0,0,0,
3095,  137,115700,815,310,110,15310,480,0,0,0,0,30,0,0,0,64,0,0,0,0,40,0,0,0,10165,19285,46010,0,0,0,0,56785,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3528,  138,121920,935,225,185,19180,480,0,0,18,0,30,0,0,0,62,0,0,0,0,0,0,0,0,14343,33200,47825,0,0,0,0,40390,      0,0,0,0,0,0,0,0,0,0,0,0,6687,
3489,  126,156240,970,285,115,27325,480,0,0,0,0,30,0,0,0,66,0,0,0,0,0,0,0,0,17045,30010,61695,0,0,0,0,76185,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1980,  119,37315,200,50,35,6080,540,10,0,0,0,30,0,0,0,25,0,178,0,0,0,0,0,0,7150,7745,11035,0,0,0,0,17750,      0,0,0,0,0,0,0,0,0,0,0,0,0,
1416,   98,99755,34190,470,845,15010,480,0,0,2,0,30,0,0,0,114,0,54,0,0,0,0,0,0,0,2940,0,0,0,0,0,21100,      0,82780,40440,0,6030,5390,0,0,0,0,0,0,0,
3361,  146,145935,975,195,125,19155,480,0,0,0,0,30,0,0,0,62,0,0,0,0,0,0,0,0,22620,29650,42800,0,0,0,0,71315,      0,0,0,0,0,0,0,0,0,0,0,0,0,
3442,  148,149645,1005,175,80,25105,480,0,0,15,30,0,0,0,0,59,0,0,0,0,0,0,0,0,27560,63720,29480,0,0,0,0,55250,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2924,  127,130980,1185,200,105,20520,570,0,0,0,0,180,0,0,0,56,0,0,0,0,0,0,0,0,35535,12670,22135,0,0,0,0,82650,      0,0,0,0,0,0,0,0,0,0,0,0,0,
