Όνομα Προμηθευτή,Μέσο Ποσοστό Περικοπής,Αθροιστικό Βάρος (αρχικό),Αθροιστική Αξία (αρχική),Αξιολόγηση Προμηθευτή,Κατηγορία Προμηθευτή
418,0.0,370330.0,962776.0,7.066,good
700,12.6316,2850.0,5785.5,4.928,bad
83,0.749612,3914270.0,3362940.0,7.133,good
271,6.26163,30130.0,49379.4,5.981,bad
728,0.783524,30015.0,6098.75,6.874,bad
832,0.0,230.0,0.0115,7.0,average
250,1.39721,10020.0,13426.8,6.776,bad
934,0.0,1675.0,16.75,7.0,average
37,0.819672,48545.0,9054.65,6.867,bad
421,5.33936,158920.0,26276.4,6.1265,bad
471,0.0,180.0,0.09,7.0,average
294,0.165471,58465.0,7791.78,6.979,average
163,0.0,1383.0,13.83,7.0,average
604,0.0,2000.0,0.02,7.0,average
307,0.974467,41537.0,42270.4,6.8475,bad
26,0.0,959.0,86.31,7.0,average
614,0.0,2755.0,211.612,7.0,average
524,4.57389,36690.0,6250.25,6.251,bad
828,0.577297,23800.0,5170.23,6.909,average
65,0.0,45.0,0.045,7.0,average
725,2.66276,17675.0,11122.0,6.566,bad
149,4.4351,366455.0,38456.6,6.275,bad
476,0.572082,25445.0,2798.95,6.909,average
836,0.24562,4065480.0,686112.0,7.043,good
958,0.0,6760.0,0.0676,7.0,average
864,2.79122,110902.0,19089.4,6.545,bad
57,0.0,455.0,300.3,7.0,average
484,1.20335,343480.0,408200.0,6.831,bad
153,2.90684,5944100.0,714828.0,6.6185,bad
310,12.5456,283755.0,67551.9,4.9465,bad
552,0.975476,294315.0,62166.9,6.8505,bad
539,1.78155,17877.0,15556.0,6.713,bad
602,3.23007,1586620.0,247268.0,6.502,bad
842,0.737677,35115.0,37721.4,6.8825,bad
87,1.5493,3143300.0,564966.0,6.8095,bad
835,5.27638,5770.0,3661.25,6.139,bad
994,0.79161,2130.0,2327.4,6.874,bad
578,0.0,410.0,0.0205,7.0,average
916,0.0,1348.0,94.36,7.0,average
375,0.0,1042.0,156.3,7.0,average
452,0.0,1982.0,19.82,7.0,average
142,0.0,30.0,0.0175,7.0,average
623,0.0,41.0,5640.0,7.0,average
996,0.0,1026.0,102.6,7.0,average
22,0.701053,48060.0,44969.1,6.8895,average
777,0.0,1329.0,119.61,7.0,average
563,0.0,256.0,2.56,7.0,average
254,0.0,145.0,0.0145,7.0,average
302,0.0,2960.0,475.158,7.0,average
555,0.389968,123295.0,111850.0,6.943,average
906,0.0,7.0,0.035,7.0,average
573,2.06856,8460.0,11421.0,6.664,bad
577,0.0,3370.0,0.0337,7.0,average
694,0.0,72085.0,0.72085,7.0,average
669,0.0,421.0,0.031,7.0,average
995,0.0,670.0,0.0335,7.0,average
882,0.188343,217990.0,84368.0,6.978,average
803,0.916117,817640.0,131720.0,6.8665,bad
738,0.983139,292749.0,253208.0,6.857,bad
575,8.88266,10695.0,1764.68,5.544,bad
707,0.0,4785.0,0.04785,7.0,average
638,1.86106,4790.0,3890.2,6.699,bad
35,0.0,140.0,0.007,7.0,average
860,0.0,545.0,0.00545,7.0,average
339,0.0,1239.0,12.39,7.0,average
958,0.0,4400.0,0.044,7.0,average
485,9.69172,2900.0,538.5,5.411,bad
56,0.0,1730.0,234.01,7.0,average
733,1.33073,19435.0,10823.6,6.783,bad
510,0.0,1082.0,129.84,7.0,average
731,0.0,1085.0,151.9,7.0,average
73,0.0,65.0,0.0325,7.0,average
559,0.0,4140.0,0.0414,7.0,average
164,0.0,12920.0,13824.4,7.0,average
534,0.0133387,64960.0,35338.4,7.0015,good
278,42.6476,795.0,214.65,0.0,bad
542,0.0423819,18325.0,15732.7,7.0,average
468,0.0,38635.0,4777.32,7.0,average
834,0.255805,31750.0,22491.4,6.965,average
439,0.0,965.0,154.4,7.0,average
148,0.0,1107.0,99.63,7.0,average
97,0.0,592.0,71.04,7.0,average
433,0.499983,161310.0,229860.0,6.938,average
638,0.0,934.0,74.72,7.0,average
118,0.491039,376213.0,382942.0,6.95,average
752,0.0,1346.0,80.76,7.0,average
159,0.0574021,79975.0,37600.2,6.9945,average
758,0.219383,1855220.0,272661.0,6.9965,average
37,0.0,847.0,152.46,7.0,average
43,0.0,20310.0,148.954,7.0,average
507,1.11534,21685.0,5451.92,6.818,bad
247,0.501654,7010.0,29858.8,6.9245,average
597,0.0,6999.0,17338.4,7.0,average
535,0.378788,1775.0,2879.75,6.944,average
207,0.0425943,193500.0,76291.5,7.006,good
202,1.37261,6734550.0,815941.0,6.8825,average
967,2.74563,27225.0,22936.8,6.5535,bad
409,0.0,1003.0,10.03,7.0,average
324,27.1136,215670.0,46483.0,2.5525,bad
191,0.0,532.0,27594.8,7.0015,good
89,0.0,823.0,156.37,7.0,average
885,0.0,13155.0,0.13155,7.0,average
138,4.08163,3865.0,3421.75,6.335,bad
25,0.0,292.0,2.92,7.0,average
378,0.0,507.0,5.07,7.0,average
516,0.0,368.0,3.68,7.0,average
786,0.959293,6766010.0,975534.0,6.963,average
770,0.0,356.0,3.56,7.0,average
174,0.692021,237355.0,198779.0,6.9015,average
65,0.0,974.0,155.84,7.0,average
330,0.0,3600.0,0.036,7.0,average
632,0.0,455.0,0.02275,7.0,average
819,0.0,18.0,2903.04,7.0,average
799,0.672525,20295.0,17250.8,6.895,average
924,0.304514,17410.0,15551.4,6.951,average
602,0.265915,69730.0,67500.0,6.961,average
179,0.0459643,85877.0,74723.4,6.9975,average
840,2.01049,2520.0,885.125,6.671,bad
51,0.166123,415380.0,361760.0,7.0045,good
331,0.33359,1553380.0,1551130.0,7.065,good
176,0.214003,350380.0,39133.9,6.975,average
643,0.463596,329460.0,185821.0,6.9435,average
544,0.410086,75130.0,74554.9,6.9415,average
696,1.17849,19475400.0,2355020.0,7.1245,good
959,0.0,823.0,123.45,7.0,average
229,8.39302,389530.0,51660.6,5.634,bad
681,0.0,806.0,8.06,7.0,average
434,0.220015,4484120.0,609856.0,7.04,good
871,0.572519,1800.0,1481.1,6.909,average
65,0.264945,4460.0,20447.7,6.958,average
783,0.0,7260.0,2461.14,7.0,average
146,3.17818,1255.0,1004.0,6.482,bad
698,0.022493,76235.0,64441.9,7.003,good
918,0.0,1348.0,161.76,7.0,average
474,0.0,260.0,2.6,7.0,average
70,0.0,1159.0,11.59,7.0,average
727,0.0,532.0,27594.8,7.0015,good
166,0.0,283.0,2.83,7.0,average
636,0.0,55.0,0.055,7.0,average
821,0.0,843.0,8.43,7.0,average
133,0.238691,38300.0,17288.3,6.965,average
448,0.0,542.0,5.42,7.0,average
912,0.0,1616.0,2585.6,7.0,average
631,0.0,1095.0,153.3,7.0,average
256,0.0,1920.0,1113.6,7.0,average
817,3.41019,294955.0,53492.7,6.4445,bad
147,0.0,845.0,101.4,7.0,average
200,0.0,55.0,0.0275,7.0,average
208,0.0,733.0,102.62,7.0,average
646,0.0,1055.0,105.5,7.0,average
628,0.0,460.0,4.6,7.0,average
953,0.0,22690.0,2129.63,7.0,average
46,0.0,882.0,105.84,7.0,average
433,0.0,44965.0,74102.3,7.0045,good
186,0.0,5575.0,0.05575,7.0,average
102,3.74532,2670.0,2536.5,6.391,bad
683,0.0,819.0,106.47,7.0,average
484,0.0,1809.0,108.54,7.0,average
147,9.49422,19860.0,26014.4,5.4475,bad
588,0.0,815.0,105.95,7.0,average
541,0.0,1223.0,126.5,7.0,average
276,0.0,1160.0,104.4,7.0,average
82,0.0447828,15978.0,32251.7,6.9945,average
664,0.0,325.0,3.25,7.0,average
896,0.0,4270.0,277.55,7.0,average
604,0.0,1649900.0,180630.0,7.0225,good
109,0.0,4310.0,237.05,7.0,average
48,0.0,177990.0,17628.9,7.0,average
492,0.0,117429.0,13030.3,7.0,average
963,0.0,47298.0,7493.89,7.0,average
547,0.0,7220.0,1025.04,7.0,average
389,0.0,13985.0,1058.66,7.0,average
779,0.0,2665.0,186.55,7.0,average
465,0.0,53306.0,7858.34,7.0,average
575,0.0,352678.0,34539.4,7.003,good
482,0.0,500.0,0.005,7.0,average
160,0.0,325.0,65.0,7.0,average
542,2.17883,41515.0,4207.1,6.643,bad
405,0.0,675.0,6.75,7.0,average
482,5.37281,4560.0,2964.0,6.118,bad
450,0.0,251395.0,63301.0,7.0045,good
971,1.03044,7379560.0,1043730.0,6.9595,average
81,3.88968,855645.0,172317.0,6.3795,bad
879,0.118914,32827.0,46680.9,6.989,average
989,2.41102,8710.0,4598.88,6.608,bad
790,3.27675,150375.0,31342.4,6.4695,bad
540,2.52956,4017620.0,664663.0,6.662,bad
545,0.0,7855.0,5577.05,7.0,average
151,0.449299,228056.0,28010.9,6.933,average
515,4.46212,38400.0,6145.23,6.272,bad
970,0.0,135.0,0.0135,7.0,average
584,11.9207,330771.0,43003.5,5.05,bad
629,0.828847,67600.0,47567.8,6.87,bad
417,0.0,4330.0,0.0433,7.0,average
907,1.38128,352833.0,158792.0,6.7865,bad
105,0.0,30.0,0.015,7.0,average
961,0.0,307.0,3.07,7.0,average
266,4.95048,15435.0,16605.2,6.188,bad
996,0.0,1179.0,153.27,7.0,average
580,0.0,1003.0,10.03,7.0,average
183,0.0,713.0,71.3,7.0,average
841,0.0,18230.0,11053.2,7.0,average
640,0.0,45.0,4893.2,7.0,average
643,0.312671,48430.0,118960.0,6.9585,average
760,0.60241,830.0,2606.2,6.902,average
327,0.275448,691758.0,609951.0,7.0015,good
552,1.63359,20719300.0,4510030.0,7.199,good
208,0.424207,24325.0,21247.0,6.937,average
